##### LTank32 Language File 4.0 ###########
#                                         #
# Language : German                       #
# Author   : Manfred Sauke                #
# Date     : 5. Mai 2006                  #
#                                         #
###########################################

##### IMPORTANT NOTE TO THE TRANSLATORS #################
#                                                       #
# You have to translate all the lines except those      #
# beginning with a pound sign. ( # )                    #
#                                                       #
# No lines must be removed or added.                    #                  
#                                                       #
# All lines must stay at their original position.       #                  
#                                                       #
# In some cases changing the length of a message can    #
# produce strange results. You will have to make tests. #
#                                                       #
#########################################################

##### MAIN MENU ##########################
00,--,--,Spiel
00,00,--,Neu\tF2
00,01,--,Level öffnen...\tL
00,02,--,Nächstes Level\tS
00,03,--,Vorheriges Level\tP
00,04,--,Zuletzt gespieltes Level\t<-
00,05,--,SEPARATOR
00,06,--,Level-Datei laden...\tO
00,07,--,SEPARATOR
00,08,--,High Scores...\tV
00,09,--,Global High Score-Liste...\tG
00,10,--,SEPARATOR
00,11,--,Level aufzeichnen\tF5
00,12,--,Aufzeichnung speichern...\tF6
00,13,--,Aufzeichnung zusammenfassen...\tF8
00,14,--,Aufzeichnung wiedergeben...\tF7
00,15,--,SEPARATOR
00,16,--,Spielfeld drucken...
00,17,--,SEPARATOR
00,18,--,Beenden
01,--,--,Schritt
01,00,--,Anfang\tR
01,01,--,Zurück\tU
01,02,--,Position speichern\tStrg+C
01,03,--,Position abrufen\tStrg+V
01,04,--,Zusammenfassen\tF4
02,--,--,Optionen
02,00,--,Animation\tA
02,01,--,Sound\tN
02,02,--,Letztes Level merken
02,03,--,Gelöste Level überspringen
02,04,--,AutoAufnahme
02,05,--,Warnungen deaktivieren
02,06,--,SEPARATOR
02,07,--,Fenstergröße
02,07,00,Klein
02,07,01,Mittel
02,07,02,Groß
02,08,--,Schwierigkeitsgrade...\tD
02,09,--,Grafik auswählen...\tStrg+G
03,--,--,Editor [F9]
04,--,--,Hilfe
04,00,--,Tipp\tH
04,01,--,SEPARATOR
04,02,--,Index
04,03,--,Schnelle Hilfe\tF1
04,04,--,Revisions
04,05,--,SEPARATOR
04,06,--,Über LaserTank

##### EDITOR MENU ######################
00,--,--,Editor
00,00,--,Feld räumen\tStrg+C
00,01,--,Level öffnen...\tStrg+L
00,02,--,Level speichern\tStrg+S
00,03,--,Level speichern als...
00,04,--,Beenden
01,--,--,Tipp
02,--,--,Verschieben 
02,00,--,Rechts\tStrg+Richtung
02,01,--,Links
02,02,--,Hoch
02,03,--,Runter
03,--,--,Editor schließen [F9]
04,--,--,Schwierigkeit
04,00,--,Kids
04,01,--,Einfach 
04,02,--,Mittel
04,03,--,Hart
04,04,--,Tödlich
05,--,--,Hilfe
05,00,--,Editor\tF1
05,01,--,Eigene Level schreiben
05,02,--,SEPARATOR
05,03,--,Über LaserTank

##### MAIN BUTONS  ( 9 lines) #########
#Undo
Zurück
#Save Position
Position speichern
#Restore Position
Position abrufen
#New
Neu
#<< Level
<< Level
#Level >>
Level >>
#Hint
Tipp
#Restart
Anfang
#Load Level
Level öffnen

##### MESSAGES  ( 44 lines ) ###########
#The Level file can not be found\nPlease select a new one
Level-Datei nicht gefunden\nBitte neu auswählen
#Level Files (*.LVL)
Level-Dateien (*.LVL)
#Pick LaserTank Level File
Level-Datei öffnen
#Playback Files (*.LPB)
Playback-Dateien (*.LPB)
#Save Playback File
Aufzeichnung speichern
#LaserTank Error
Vehler
#Old High Score > M:
Alter High Score > M:
#M: 
M: 
# S: 
 S: 
# I: 
 I: 
#Congratulation's You beat it !!
Congratulation's You beat it !!
#Playback Level : 
Levelname : 
#\nRecorded by 
\nAufgezeichnet von 
#\nCan Not be found in the current level file\n< 
\nNicht in der aktuellen Level-Datei gefunden\n< 
